userID,userName,userFollows,userFans,userVideos
261485584,HOPICO,61,694975,75
270105105,赖皮猴爱美食,110,1728009,144
1395043421,JoeCreator,77,549607,49
8047632,哔哩哔哩弹幕网,68,3471765,92
33716779,lyasmind,123,102368,13
546195,老番茄,1,17268161,415
9980514,幻ゝ,46,62337,30
5970160,小潮院长,99,7653220,267
53456,Warma,1189,3471569,204
504672822,浙江卫视,0,133050,1380
562197,中国BOY超级大猩猩,116,8199943,1526
67141499,大漠叔叔,82,5284184,402
174902557,没啥用科技,27,1748070,29
63231,泛式,463,4652596,234
14110780,凉风Kaze,33,8195211,471
1869712375,山城小栗旬的理发日记,61,2905231,71
28896330,博舒,17,116592,5
1532165,papi酱,45,7112518,249
161775300,明日方舟,3,4558736,200
672328094,嘉然今天吃什么,18,1641329,215
533459953,刘庸干净又卫生,3,3898841,280
2678945,亮亮也是酿酿,39,840176,120
28053896,吉儿一范伦婷,1443,770195,106
162171675,小谢坑比,551,44149,27
107084,高彩萍和乔老爷,39,74562,11
1921596130,Ike_Official,52,686777,7
13164144,魔法Zc目录,611,1862572,280
488779255,动漫作业本,213,866191,359
1131457022,人民日报,22,4618428,1086
27043295,上白石萌音,8,194784,133
280793434,手工耿,41,6552302,177
527057981,叶子吖OHYEZI,79,592308,86
3379951,ilem,140,1558924,83
29329085,二喵的饭,159,4574924,215
37607457,凹凸赛克,110,779770,51
31578954,街健呆木头,181,839537,280
31225950,不是柯桑德,194,1545793,245
1398957,树深时见鹿dear,330,652522,171
52190805,麟宣森,286,1809763,114
11870568,拉宏桑,248,2971605,293
495370757,莱美中国LESMILLS,1,168026,207
36184593,TUO图欧君,159,412106,143
81824112,导演小策,98,3195588,186
1577804,某幻君,56,7320761,301
270105105,赖皮猴爱美食,110,1728009,144
3066511,特效小哥studio,187,2780027,234
99157282,盗月社食遇记,609,6839293,484
90361813,三十六贱笑,1131,4948056,179
755824,杨颜同学,772,910540,270
730732,瓶子君152,168,3402361,212
14804670,无穷小亮的科普日常,87,7570806,225
23604445,上海滩许Van强,487,1756529,168
2206456,花少北丶,43,5940318,209
351197413,微笑Fortune,23,30017,32
351609538,珈乐Carol,12,513814,111
1564863651,越南木匠阿岛,4,90675,9
17466521,风羽酱-sdk,159,236464,159
4242174,炒蛋车间长,325,512046,174
161775300,明日方舟,3,4558737,200
355390214,翻拍小分队,14,474736,111
261485584,HOPICO,61,694975,75
174902557,没啥用科技,27,1748070,29
404062312,幕阳熙,13,32849,179
59905809,哦呼w,256,2072460,147
163387036,无夜游名,696,38146,4
28348490,咆哮丶土拨鼠,419,527090,135
79577853,智能路障,165,3009377,110
280793434,手工耿,41,6552303,177
298946431,香香软软的小泡芙,358,1549084,578
31225950,不是柯桑德,194,1545794,245
476704454,小文哥吃吃吃,99,3212576,464
1131457022,人民日报,22,4618441,1086
210501465,安迪的美院日常,48,106941,137
3066511,特效小哥studio,187,2780026,234
163637592,老师好我叫何同学,266,9496533,45
1131457022,人民日报,22,4618444,1086
401742377,原神,56,11553379,198
18202105,绵羊料理,147,9553386,333
125526,-LKs-,137,2700560,361
1923246745,Theshy,9,735623,2
1838326986,帅农鸟哥,13,2643951,37
23947287,小约翰可汗,334,4356367,94
1958342,水无月菌,110,2200476,195
546195,老番茄,1,17268166,415
2200736,才疏学浅的才浅,243,4338148,56
147166910,雨哥到处跑,226,2746079,250
325272035,艾奥科技,61,693384,387
1340190821,崩坏星穹铁道,13,1721675,5
337747793,-A梦-,172,15541,23
411231745,天亮手工,25,351036,37
888465,暗猫の祝福,463,1434794,242
1513064930,白林Bylin,143,62219,15
29329085,二喵的饭,159,4574924,215
26321770,和猫住,49,2028632,272
439478093,中国食品报融媒体,13,1103528,51
113362335,宝剑嫂,349,4134130,251
10579922,宛倾然,360,36098,133
17495873,胡仔一人食,62,816695,87
771530,_傑傑菌_,106,20864,26
82571698,知三冬,107,179567,69
1532165,papi酱,45,7112520,249
15247078,小飞蛾好可爱,138,95561,79
6065166,川同学不穿童鞋,231,812504,231
321422126,进击的金厂长,88,3215281,411
2026561407,吃花椒的喵酱,19,5023257,19
14110780,凉风Kaze,33,8195209,471
6814377,WindPoro,854,194051,30
23604445,上海滩许Van强,487,1756528,168
440209020,-柠檬猹-,344,11086,13
593920494,荷塘星星,28,102443,103
1717650673,探影空间,0,32651,30
1577804,某幻君,56,7320759,301
17819768,电影最TOP,38,4458610,431
546195,老番茄,1,17268167,415
37607457,凹凸赛克,110,779770,51
1646036311,凤凰传奇,46,1694861,57
946974,影视飓风,479,4383263,485
330415548,谭乔,43,3744747,353
40427625,取景框看世界,307,2177418,50
11870568,拉宏桑,248,2971605,293
337521240,记录生活的蛋黄派,135,7183469,593
7637632,八嘎金,7,188346,131
171593336,多喝雨水-,111,17798,60
99157282,盗月社食遇记,609,6839294,484
5970160,小潮院长,99,7653226,267
474702359,自来卷三木,67,2586715,120
485572175,小陈同学piupiu,19,91914,43
517327498,罗翔说刑法,13,22735473,253
401742377,原神,56,11553380,198
2678945,亮亮也是酿酿,39,840178,120
3913194,高斯Goh,225,1526827,47
15167172,毒影子,836,108679,65
