Num_Acc,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma
201900000001,1,3,0,,3,10,0,1,6,900,2,,,1,2,1,70
201900000002,1,1,0,,1,2,0,4,3,845,2,,,1,0,1,70
201900000003,1,86,0,,3,8,0,1,10,500,3,,,1,0,1,90
201900000004,1,4,0,,3,5,0,1,2,299,1,,,1,0,1,90
201900000005,1,86,0,INT,1,3,0,1,41,0,3,,,1,2,1,90
201900000006,4,FOCH (RUE DU MARECHAL),0,,2,2,0,1,0,0,1,,,2,0,1,30
201900000007,4,BEAUJOLAIS (avenue du),0,,2,2,0,1,1,0,1,,,1,0,2,50
201900000008,4,VICTOR HUGO(RUE),0,,2,2,0,2,0,0,1,,,2,0,1,50
201900000009,3,986,0,,1,4,0,1,NaN,NaN,1,,,1,0,1,90
201900000010,7,LOUIS SALVATOR (BOULEVARD),0,,2,4,0,2,0,0,1,,,1,0,1,50
201900000011,4,BAILLE (BOULEVARD),0,,2,3,0,1,0,0,1,,,1,0,1,50
201900000012,1,104,0,,3,6,0,1,2,799,2,,,2,0,1,90
201900000013,4,173,0,,2,2,0,1,0,0,1,,,1,0,1,50
201900000014,2,2,0,,2,2,0,1,0,0,1,,,1,9,1,50
201900000015,4,COMMUNE DE PARIS (AVENUE),0,,1,1,1,1,0,0,1,,,1,0,1,50
201900000016,4,GENERAL BROSSET (DU)                (AV),0,,1,1,0,1,0,0,1,,,1,0,1,50
201900000017,4,GABARES (RUE DES),0,,1,1,0,1,NaN,NaN,1,,,1,0,1,30
201900000018,7,6,0,,1,5,3,1,0,1,1,,,2,9,1,50
201900000019,4,PAUL SEDAILLIAN                     (QU),0,,2,2,0,1,0,0,1,,,2,0,1,50
201900000020,4,KITCHENER MARCHAND                  (PT),0,,2,7,0,1,0,1,1,,,1,2,1,50
201900000021,3,81,0,,2,2,0,2,1,0,2,,,1,0,1,50
201900000022,3,646,0,,2,2,0,1,0,0,1,,,1,0,1,50
201900000023,4,PHILIPINES - CHEMIN DES,0,,2,0,0,2,0,0,1,,,1,1,1,30
201900000024,7,HENRI BARBUSSE (RUE),0,,2,1,0,1,0,1,1,,,2,0,1,50
201900000025,4,CATHELIN DR (BOULEVARD DU),0,,NaN,2,0,2,0,0,1,,,2,0,1,50
201900000026,2,147,0,,3,4,0,1,59,600,1,,,1,0,1,50
201900000027,4,LIBERATION (AVENUE DE LA),0,,2,2,0,1,0,0,1,,,2,0,1,50
201900000028,4,LICES (AVE DES),0,,NaN,1,0,2,0,0,1,,,1,0,1,50
201900000029,4,ROGER DUMOULIN (AVENUE),0,,2,2,0,1,0,0,1,,,2,0,1,50
201900000030,3,321,0,,2,4,0,2,3,605,1,,,2,5,1,50
201900000031,3,308,0,,2,4,0,1,10,790,1,,,2,0,1,70
201900000032,4,ROSE (BD.JEAN),0,,2,2,0,1,0,0,1,,,2,9,1,50
201900000033,3,1,0,,2,2,0,1,6,200,2,,,2,0,1,80
201900000034,4,BOLLEE (AV) N° PAIRS 224 ET >,0,,2,3,2,1,0,0,1,,,1,0,1,50
201900000035,3,601,0,,2,2,0,2,NaN,NaN,1,,,2,0,1,80
201900000036,3,306,0,,3,6,0,1,51,150,1,,,2,5,4,50
201900000037,4,JEAN JAURES (AVENUE),0,,3,5,2,1,0,0,1,,,2,4,6,50
201900000038,4,MOULIN (PLACE JEAN),0,,2,2,0,1,0,0,1,,,1,0,1,30
201900000039,4,QUATRE-SAISONS (DES),0,,2,2,0,1,0,0,1,,,1,0,1,50
201900000040,3,945,0,,2,2,0,1,0,0,1,,,1,0,1,70
201900000041,4,FRANCOIS MITTERAND,0,,NaN,2,0,1,0,0,2,,,2,0,1,30
201900000042,4,NOTRE DAME DU THIL (RUE),0,,2,2,0,1,NaN,NaN,1,,,2,0,1,50
201900000043,4,AVENUE JEAN JAURES,0,,2,3,1,1,0,0,1,,,1,0,1,50
201900000044,4,ALLEE JACQUES SIMON,0,,2,2,0,1,NaN,NaN,1,,,2,0,1,50
201900000045,4,RUE DE TAISSY,0,,2,2,0,1,NaN,NaN,1,,,1,0,1,50
201900000046,4,ALLEE VOLTAIRE,0,,1,4,0,1,NaN,NaN,1,,,2,0,1,50
201900000047,4,SAINT PAUL (RUE),0,,2,2,0,1,0,0,1,,,2,0,1,50
201900000048,4,CALIGNY (QUAI DE),0,,2,3,0,1,0,0,1,,,1,0,1,50
201900000049,4,TURPIN DE CRISSE AVENUE,0,,2,2,0,1,0,0,1,,,1,0,1,60
201900000050,4,RUE MARCELIN BERTHELOT,0,,2,2,0,1,NaN,NaN,1,,,2,0,1,50
201900000051,4, RUE DES MONTEES,0,,1,2,0,1,NaN,NaN,2,,,1,0,1,50
201900000052,3,524,0,,2,2,0,1,2,55,3,,,2,0,1,50
201900000053,4,GRAMMONT (AVENUE DE),0,,2,2,0,1,0,0,1,,,1,6,1,50
201900000054,2,136,0,,3,4,0,1,6,750,1,,,1,0,1,90
201900000055,6,HOCHE (PLACE),0,,NaN,NaN,0,4,0,0,1,,,1,1,6,10
201900000056,4,UKRAINE (ALLEE D'),0,,2,4,2,1,0,0,1,,,1,0,1,50
201900000057,4,VINGT DEUX AOUT 1944 (AV DU),0,,2,1,0,1,NaN,NaN,1,,,1,0,1,50
201900000058,4,QUAI DE PALUDATE,0,,2,7,2,1,NaN,NaN,1,,,1,5,1,50
201900000059,4,CRS JOURNU AUBER,0,,1,2,1,1,NaN,NaN,1,,,2,0,1,50
201900000060,4,RTE DE LEOGNAN,0,,2,4,0,1,0,0,1,,,1,0,1,50
201900000061,4,AVE DU PONT DE L'ORIENT,0,,2,4,2,1,NaN,NaN,1,,,1,0,1,50
201900000062,4,ALL DE BOUTAUT,0,,3,8,NaN,1,NaN,NaN,1,,,2,0,8,50
201900000063,4,AVE CARNOT,0,,3,10,NaN,2,NaN,NaN,3,,,2,0,1,70
201900000064,4,AVE DE CANDAU,0,,2,2,0,1,NaN,NaN,1,,,2,0,1,50
201900000065,4,BD DU PDT FRANKLIN ROOSEVELT,0,,3,6,0,1,0,0,1,,,2,0,1,50
201900000066,3,15,0,,2,2,0,1,0,0,1,,,2,0,1,50
201900000067,4,D'INDY (AVE VINCENT),0,,2,2,0,1,0,0,1,,,1,0,1,50
201900000068,2,165,0,,1,2,0,2,53,500,3,,,2,9,1,110
201900000069,4,LOUPPE ALBERT (DE 1 A 69 ET 2 A 62),0,,2,2,0,2,0,0,1,,,2,0,1,30
201900000070,4,FOCH MARECHAL,0,,2,2,0,3,0,0,1,,,2,0,1,50
201900000071,4,GUEBRIANT,0,,NaN,1,0,1,1,0,2,,,1,0,1,50
201900000072,4,MOULIN (BOULEVARD JEAN) COTE POMPIERS,0,,2,2,0,1,0,0,1,,,2,0,1,50
201900000073,5,ALVITRE (AVENUE ABBE),0,,2,2,0,1,0,0,1,,,2,0,1,50
